trading_date,open,last,high,low,prev_close,volume,total_turnover,limit_up,limit_down,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a1_v,a2_v,a3_v,a4_v,a5_v,b1_v,b2_v,b3_v,b4_v,b5_v,change_rate,num_trades
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.8,0,0,0,0,13.8,0,0,0,0,147100,3300,0,0,0,147100,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.8,0,0,0,0,13.8,0,0,0,0,147300,6800,0,0,0,147300,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.8,0,0,0,0,13.8,0,0,0,0,147300,7900,0,0,0,147300,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.8,0,0,0,0,13.8,0,0,0,0,147700,22100,0,0,0,147700,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.8,0,0,0,0,13.8,0,0,0,0,149400,27300,0,0,0,149400,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.8,0,0,0,0,13.8,0,0,0,0,150200,41800,0,0,0,150200,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.8,0,0,0,0,13.8,0,0,0,0,154600,40700,0,0,0,154600,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.8,0,0,0,0,13.8,0,0,0,0,163000,32500,0,0,0,163000,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.8,0,0,0,0,13.8,0,0,0,0,163000,32700,0,0,0,163000,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.8,0,0,0,0,13.8,0,0,0,0,163500,35700,0,0,0,163500,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.8,0,0,0,0,13.8,0,0,0,0,163800,41800,0,0,0,163800,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.79,0,0,0,0,13.79,0,0,0,0,164100,16100,0,0,0,164100,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.78,0,0,0,0,13.78,0,0,0,0,166600,5200,0,0,0,166600,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.78,0,0,0,0,13.78,0,0,0,0,166600,6300,0,0,0,166600,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.78,0,0,0,0,13.78,0,0,0,0,214200,0,0,0,0,214200,9200,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.78,0,0,0,0,13.78,0,0,0,0,223800,15700,0,0,0,223800,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.78,0,0,0,0,13.78,0,0,0,0,226200,16500,0,0,0,226200,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.78,0,0,0,0,13.78,0,0,0,0,227200,39000,0,0,0,227200,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.78,0,0,0,0,13.78,0,0,0,0,228000,65300,0,0,0,228000,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.77,0,0,0,0,13.77,0,0,0,0,230900,21200,0,0,0,230900,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.76,0,0,0,0,13.76,0,0,0,0,233000,0,0,0,0,233000,2100,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.75,0,0,0,0,13.75,0,0,0,0,247400,10900,0,0,0,247400,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.74,0,0,0,0,13.74,0,0,0,0,248800,0,0,0,0,248800,1400,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.74,0,0,0,0,13.74,0,0,0,0,250600,11800,0,0,0,250600,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.73,0,0,0,0,13.73,0,0,0,0,260500,0,0,0,0,260500,1700,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.73,0,0,0,0,13.73,0,0,0,0,267900,12200,0,0,0,267900,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.71,0,0,0,0,13.71,0,0,0,0,290900,10400,0,0,0,290900,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.71,0,0,0,0,13.71,0,0,0,0,291400,13600,0,0,0,291400,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.71,0,0,0,0,13.71,0,0,0,0,310300,0,0,0,0,310300,10300,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.71,0,0,0,0,13.71,0,0,0,0,343400,8400,0,0,0,343400,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.71,0,0,0,0,13.71,0,0,0,0,350200,38300,0,0,0,350200,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.7,0,0,0,0,13.7,0,0,0,0,389600,5700,0,0,0,389600,0,0,0,0,0,0
