trading_date,open,last,high,low,prev_close,volume,total_turnover,limit_up,limit_down,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a1_v,a2_v,a3_v,a4_v,a5_v,b1_v,b2_v,b3_v,b4_v,b5_v,change_rate,num_trades
2022-03-21,0.0,14.7,0.0,0.0,14.7,0.0,0.0,16.17,13.23,14.71,0.0,0.0,0.0,0.0,14.71,0.0,0.0,0.0,0.0,230900.0,5551.0,0.0,0.0,0.0,230900.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,14.7,0.0,0.0,14.7,0.0,0.0,16.17,13.23,14.71,0.0,0.0,0.0,0.0,14.71,0.0,0.0,0.0,0.0,232000.0,7951.0,0.0,0.0,0.0,232000.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,14.7,0.0,0.0,14.7,0.0,0.0,16.17,13.23,14.71,0.0,0.0,0.0,0.0,14.71,0.0,0.0,0.0,0.0,232000.0,12151.0,0.0,0.0,0.0,232000.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,14.7,0.0,0.0,14.7,0.0,0.0,16.17,13.23,14.71,0.0,0.0,0.0,0.0,14.71,0.0,0.0,0.0,0.0,232500.0,13351.0,0.0,0.0,0.0,232500.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,14.7,0.0,0.0,14.7,0.0,0.0,16.17,13.23,14.71,0.0,0.0,0.0,0.0,14.71,0.0,0.0,0.0,0.0,241000.0,7351.0,0.0,0.0,0.0,241000.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,14.7,0.0,0.0,14.7,0.0,0.0,16.17,13.23,14.71,0.0,0.0,0.0,0.0,14.71,0.0,0.0,0.0,0.0,241600.0,47051.0,0.0,0.0,0.0,241600.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,14.7,0.0,0.0,14.7,0.0,0.0,16.17,13.23,14.71,0.0,0.0,0.0,0.0,14.71,0.0,0.0,0.0,0.0,243500.0,47151.0,0.0,0.0,0.0,243500.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,14.7,0.0,0.0,14.7,0.0,0.0,16.17,13.23,14.7,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,265551.0,0.0,0.0,0.0,0.0,265551.0,40549.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,14.7,0.0,0.0,14.7,0.0,0.0,16.17,13.23,14.71,0.0,0.0,0.0,0.0,14.71,0.0,0.0,0.0,0.0,244700.0,9651.0,0.0,0.0,0.0,244700.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,14.7,0.0,0.0,14.7,0.0,0.0,16.17,13.23,14.71,0.0,0.0,0.0,0.0,14.71,0.0,0.0,0.0,0.0,243700.0,50151.0,0.0,0.0,0.0,243700.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,14.7,0.0,0.0,14.7,0.0,0.0,16.17,13.23,14.7,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,306151.0,0.0,0.0,0.0,0.0,306151.0,8749.0,0.0,0.0,0.0,0.0,0.0
